Region,Year,Series,Value
Guinea,2020,Labour force participation - Female,62.8
Guinea,2020,Unemployment rate - Female,3.3
Guinea-Bissau,2005,Labour force participation - Total,71.7
Guinea-Bissau,2005,Unemployment rate - Total,2.6
Guinea-Bissau,2005,Labour force participation - Male,79.4
Guinea-Bissau,2005,Unemployment rate - Male,2.9
Guinea-Bissau,2005,Labour force participation - Female,64.8
Guinea-Bissau,2005,Unemployment rate - Female,2.4
Guinea-Bissau,2010,Labour force participation - Total,71.5
Guinea-Bissau,2010,Unemployment rate - Total,2.7
Guinea-Bissau,2010,Labour force participation - Male,78.7
Guinea-Bissau,2010,Unemployment rate - Male,2.9
Guinea-Bissau,2010,Labour force participation - Female,65.1
Guinea-Bissau,2010,Unemployment rate - Female,2.4
Guinea-Bissau,2015,Labour force participation - Total,71.9
Guinea-Bissau,2015,Unemployment rate - Total,2.6
Guinea-Bissau,2015,Labour force participation - Male,78.8
Guinea-Bissau,2015,Unemployment rate - Male,2.8
Guinea-Bissau,2015,Labour force participation - Female,65.6
Guinea-Bissau,2015,Unemployment rate - Female,2.4
Guinea-Bissau,2020,Labour force participation - Total,72
Guinea-Bissau,2020,Unemployment rate - Total,2.5
Guinea-Bissau,2020,Labour force participation - Male,78.6
Guinea-Bissau,2020,Unemployment rate - Male,2.7
Guinea-Bissau,2020,Labour force participation - Female,65.9
Guinea-Bissau,2020,Unemployment rate - Female,2.2
Guyana,2005,Labour force participation - Total,56.4
Guyana,2005,Unemployment rate - Total,11.1
Guyana,2005,Labour force participation - Male,77
Guyana,2005,Unemployment rate - Male,9.5
Guyana,2005,Labour force participation - Female,36
Guyana,2005,Unemployment rate - Female,14.4
Guyana,2010,Labour force participation - Total,56.3
Guyana,2010,Unemployment rate - Total,11.5
Guyana,2010,Labour force participation - Male,73.8
Guyana,2010,Unemployment rate - Male,9.6
Guyana,2010,Labour force participation - Female,39.3
Guyana,2010,Unemployment rate - Female,14.8
Guyana,2015,Labour force participation - Total,56.2
Guyana,2015,Unemployment rate - Total,12
Guyana,2015,Labour force participation - Male,70.1
Guyana,2015,Unemployment rate - Male,10
Guyana,2015,Labour force participation - Female,42.4
Guyana,2015,Unemployment rate - Female,15.3
Guyana,2020,Labour force participation - Total,56.2
Guyana,2020,Unemployment rate - Total,11.8
Guyana,2020,Labour force participation - Male,68.4
Guyana,2020,Unemployment rate - Male,9.6
Guyana,2020,Labour force participation - Female,44.1
Guyana,2020,Unemployment rate - Female,15.2
Haiti,2005,Labour force participation - Total,64.4
Haiti,2005,Unemployment rate - Total,14.4
Haiti,2005,Labour force participation - Male,70.1
Haiti,2005,Unemployment rate - Male,12.5
Haiti,2005,Labour force participation - Female,59.1
Haiti,2005,Unemployment rate - Female,16.5
Haiti,2010,Labour force participation - Total,65.3
Haiti,2010,Unemployment rate - Total,15.4
Haiti,2010,Labour force participation - Male,71.6
Haiti,2010,Unemployment rate - Male,13
Haiti,2010,Labour force participation - Female,59.3
Haiti,2010,Unemployment rate - Female,18.1
Haiti,2015,Labour force participation - Total,66.5
Haiti,2015,Unemployment rate - Total,14
Haiti,2015,Labour force participation - Male,72
Haiti,2015,Unemployment rate - Male,11.2
Haiti,2015,Labour force participation - Female,61.2
Haiti,2015,Unemployment rate - Female,17
Haiti,2020,Labour force participation - Total,67.4
Haiti,2020,Unemployment rate - Total,13.9
Haiti,2020,Labour force participation - Male,72.9
Haiti,2020,Unemployment rate - Male,11.4
Haiti,2020,Labour force participation - Female,62.1
Haiti,2020,Unemployment rate - Female,16.7
Honduras,2005,Labour force participation - Total,63.9
Honduras,2005,Unemployment rate - Total,4.9
Honduras,2005,Labour force participation - Male,85.5
Honduras,2005,Unemployment rate - Male,4.1
Honduras,2005,Labour force participation - Female,43
Honduras,2005,Unemployment rate - Female,6.5
Honduras,2010,Labour force participation - Total,64.4
Honduras,2010,Unemployment rate - Total,4.1
Honduras,2010,Labour force participation - Male,84.8
Honduras,2010,Unemployment rate - Male,3.4
Honduras,2010,Labour force participation - Female,44.5
Honduras,2010,Unemployment rate - Female,5.4
Honduras,2015,Labour force participation - Total,66.6
Honduras,2015,Unemployment rate - Total,6.2
Honduras,2015,Labour force participation - Male,85.3
Honduras,2015,Unemployment rate - Male,4.5
Honduras,2015,Labour force participation - Female,48.3
Honduras,2015,Unemployment rate - Female,9
Honduras,2020,Labour force participation - Total,68.8
Honduras,2020,Unemployment rate - Total,5.2
Honduras,2020,Labour force participation - Male,85.8
Honduras,2020,Unemployment rate - Male,4.3
Honduras,2020,Labour force participation - Female,52.1
Honduras,2020,Unemployment rate - Female,6.8
Hungary,2005,Labour force participation - Total,50.2
Hungary,2005,Unemployment rate - Total,7.2
Hungary,2005,Labour force participation - Male,58.4
Hungary,2005,Unemployment rate - Male,7
Hungary,2005,Labour force participation - Female,42.9
Hungary,2005,Unemployment rate - Female,7.4
Hungary,2010,Labour force participation - Total,50.5
Hungary,2010,Unemployment rate - Total,11.2
Hungary,2010,Labour force participation - Male,58.2
Hungary,2010,Unemployment rate - Male,11.6
Hungary,2010,Labour force participation - Female,43.8
Hungary,2010,Unemployment rate - Female,10.7
Hungary,2015,Labour force participation - Total,54.8
Hungary,2015,Unemployment rate - Total,6.8
Hungary,2015,Labour force participation - Male,63.4
Hungary,2015,Unemployment rate - Male,6.6
Hungary,2015,Labour force participation - Female,47.3
Hungary,2015,Unemployment rate - Female,7
Hungary,2020,Labour force participation - Total,56.4
Hungary,2020,Unemployment rate - Total,3.5
Hungary,2020,Labour force participation - Male,65.3
Hungary,2020,Unemployment rate - Male,3.4
Hungary,2020,Labour force participation - Female,48.5
Hungary,2020,Unemployment rate - Female,3.5
Iceland,2005,Labour force participation - Total,75.8
Iceland,2005,Unemployment rate - Total,2.6
Iceland,2005,Labour force participation - Male,80.7
Iceland,2005,Unemployment rate - Male,2.6
Iceland,2005,Labour force participation - Female,70.9
Iceland,2005,Unemployment rate - Female,2.5
Iceland,2010,Labour force participation - Total,74.9
Iceland,2010,Unemployment rate - Total,7.6
Iceland,2010,Labour force participation - Male,79.1
Iceland,2010,Unemployment rate - Male,8.3
Iceland,2010,Labour force participation - Female,70.6
Iceland,2010,Unemployment rate - Female,6.7
Iceland,2015,Labour force participation - Total,77
Iceland,2015,Unemployment rate - Total,4
Iceland,2015,Labour force participation - Male,81
Iceland,2015,Unemployment rate - Male,3.9
Iceland,2015,Labour force participation - Female,73.1
Iceland,2015,Unemployment rate - Female,4.1
Iceland,2020,Labour force participation - Total,74.8
Iceland,2020,Unemployment rate - Total,3.2
Iceland,2020,Labour force participation - Male,78.9
Iceland,2020,Unemployment rate - Male,3.3
Iceland,2020,Labour force participation - Female,70.6
Iceland,2020,Unemployment rate - Female,3.2
India,2005,Labour force participation - Total,58.2
India,2005,Unemployment rate - Total,5.6
India,2005,Labour force participation - Male,82.9
India,2005,Unemployment rate - Male,5.6
India,2005,Labour force participation - Female,31.8
India,2005,Unemployment rate - Female,5.6
India,2010,Labour force participation - Total,54
India,2010,Unemployment rate - Total,5.6
India,2010,Labour force participation - Male,80.5
India,2010,Unemployment rate - Male,5.6
India,2010,Labour force participation - Female,25.7
India,2010,Unemployment rate - Female,5.7
India,2015,Labour force participation - Total,50.8
India,2015,Unemployment rate - Total,5.6
India,2015,Labour force participation - Male,77.9
India,2015,Unemployment rate - Male,5.6
India,2015,Labour force participation - Female,21.7
India,2015,Unemployment rate - Female,5.6
India,2020,Labour force participation - Total,49.2
India,2020,Unemployment rate - Total,5.4
India,2020,Labour force participation - Male,76
India,2020,Unemployment rate - Male,5.4
India,2020,Labour force participation - Female,20.3
India,2020,Unemployment rate - Female,5.3
Indonesia,2005,Labour force participation - Total,63.9
Indonesia,2005,Unemployment rate - Total,8
Indonesia,2005,Labour force participation - Male,82.4
Indonesia,2005,Unemployment rate - Male,6.8
Indonesia,2005,Labour force participation - Female,45.5
Indonesia,2005,Unemployment rate - Female,10.1
Indonesia,2010,Labour force participation - Total,67.2
Indonesia,2010,Unemployment rate - Total,5.6
Indonesia,2010,Labour force participation - Male,83.2
Indonesia,2010,Unemployment rate - Male,5.1
Indonesia,2010,Labour force participation - Female,51.2
Indonesia,2010,Unemployment rate - Female,6.4
Indonesia,2015,Labour force participation - Total,66.5
Indonesia,2015,Unemployment rate - Total,4.5
Indonesia,2015,Labour force participation - Male,82.4
Indonesia,2015,Unemployment rate - Male,4.6
Indonesia,2015,Labour force participation - Female,50.6
Indonesia,2015,Unemployment rate - Female,4.4
Indonesia,2020,Labour force participation - Total,67.5
Indonesia,2020,Unemployment rate - Total,4.8
Indonesia,2020,Labour force participation - Male,81.8
Indonesia,2020,Unemployment rate - Male,4.9
Indonesia,2020,Labour force participation - Female,53.2
Indonesia,2020,Unemployment rate - Female,4.7
Iran (Islamic Republic of),2005,Labour force participation - Total,47.5
Iran (Islamic Republic of),2005,Unemployment rate - Total,12.1
Iran (Islamic Republic of),2005,Labour force participation - Male,74.6
Iran (Islamic Republic of),2005,Unemployment rate - Male,10.6
Iran (Islamic Republic of),2005,Labour force participation - Female,19.5
Iran (Islamic Republic of),2005,Unemployment rate - Female,18.2
Iran (Islamic Republic of),2010,Labour force participation - Total,42.9
Iran (Islamic Republic of),2010,Unemployment rate - Total,13.5
Iran (Islamic Republic of),2010,Labour force participation - Male,69.9
Iran (Islamic Republic of),2010,Unemployment rate - Male,11.9
Iran (Islamic Republic of),2010,Labour force participation - Female,15.7
Iran (Islamic Republic of),2010,Unemployment rate - Female,20.7
Iran (Islamic Republic of),2015,Labour force participation - Total,42.4
Iran (Islamic Republic of),2015,Unemployment rate - Total,11.1
Iran (Islamic Republic of),2015,Labour force participation - Male,69.7
Iran (Islamic Republic of),2015,Unemployment rate - Male,9.3
Iran (Islamic Republic of),2015,Labour force participation - Female,14.8
Iran (Islamic Republic of),2015,Unemployment rate - Female,19.5
Iran (Islamic Republic of),2020,Labour force participation - Total,44.3
Iran (Islamic Republic of),2020,Unemployment rate - Total,11.2
Iran (Islamic Republic of),2020,Labour force participation - Male,71.1
Iran (Islamic Republic of),2020,Unemployment rate - Male,9.3
Iran (Islamic Republic of),2020,Labour force participation - Female,17.3
Iran (Islamic Republic of),2020,Unemployment rate - Female,19
Iraq,2005,Labour force participation - Total,42.3
Iraq,2005,Unemployment rate - Total,9
Iraq,2005,Labour force participation - Male,73.3
Iraq,2005,Unemployment rate - Male,9.2
Iraq,2005,Labour force participation - Female,11.5
Iraq,2005,Unemployment rate - Female,7.6
Iraq,2010,Labour force participation - Total,42.1
Iraq,2010,Unemployment rate - Total,8.4
Iraq,2010,Labour force participation - Male,72.3
Iraq,2010,Unemployment rate - Male,8
Iraq,2010,Labour force participation - Female,12
Iraq,2010,Unemployment rate - Female,10.5
Iraq,2015,Labour force participation - Total,44
Iraq,2015,Unemployment rate - Total,10.7
Iraq,2015,Labour force participation - Male,73.8
Iraq,2015,Unemployment rate - Male,8.5
Iraq,2015,Labour force participation - Female,14.1
Iraq,2015,Unemployment rate - Female,22.2
Iraq,2020,Labour force participation - Total,43.1
Iraq,2020,Unemployment rate - Total,12.8
Iraq,2020,Labour force participation - Male,74.3
Iraq,2020,Unemployment rate - Male,10
Iraq,2020,Labour force participation - Female,11.8
Iraq,2020,Unemployment rate - Female,30.5
Ireland,2005,Labour force participation - Total,65.1
Ireland,2005,Unemployment rate - Total,4.3
Ireland,2005,Labour force participation - Male,75.9
Ireland,2005,Unemployment rate - Male,4.6
Ireland,2005,Labour force participation - Female,54.6
Ireland,2005,Unemployment rate - Female,4
Ireland,2010,Labour force participation - Total,63
Ireland,2010,Unemployment rate - Total,14.5
Ireland,2010,Labour force participation - Male,70.5
Ireland,2010,Unemployment rate - Male,17.1
Ireland,2010,Labour force participation - Female,55.6
Ireland,2010,Unemployment rate - Female,11.4
Ireland,2015,Labour force participation - Total,62.2
Ireland,2015,Unemployment rate - Total,9.9
Ireland,2015,Labour force participation - Male,69.5
Ireland,2015,Unemployment rate - Male,10.7
Ireland,2015,Labour force participation - Female,55.1
Ireland,2015,Unemployment rate - Female,8.9
Ireland,2020,Labour force participation - Total,61.8
Ireland,2020,Unemployment rate - Total,5.2
Ireland,2020,Labour force participation - Male,67.9
Ireland,2020,Unemployment rate - Male,5.5
Ireland,2020,Labour force participation - Female,55.8
Ireland,2020,Unemployment rate - Female,4.8
Isle of Man,2001,Labour force participation - Total,63.3
Isle of Man,2001,Unemployment rate - Total,1.6
Isle of Man,2001,Labour force participation - Male,71.4
Isle of Man,2001,Unemployment rate - Male,1.7
Isle of Man,2001,Labour force participation - Female,55.7
Isle of Man,2001,Unemployment rate - Female,1.5
Isle of Man,2006,Labour force participation - Total,62.8
Isle of Man,2006,Unemployment rate - Total,2.4
Isle of Man,2006,Labour force participation - Male,69.9
Isle of Man,2006,Unemployment rate - Male,2.8
Isle of Man,2006,Labour force participation - Female,56.3
Isle of Man,2006,Unemployment rate - Female,2
Isle of Man,2011,Labour force participation - Total,63.3
Isle of Man,2011,Unemployment rate - Total,3.3
Isle of Man,2011,Labour force participation - Male,69.3
Isle of Man,2011,Unemployment rate - Male,3.8
Isle of Man,2011,Labour force participation - Female,57.5
Isle of Man,2011,Unemployment rate - Female,2.8
Isle of Man,2013,Unemployment rate - Total,2.6
Isle of Man,2013,Unemployment rate - Male,3.4
Isle of Man,2013,Unemployment rate - Female,1.7
Israel,2005,Labour force participation - Total,61.7
Israel,2005,Unemployment rate - Total,11.3
Israel,2005,Labour force participation - Male,68.8
Israel,2005,Unemployment rate - Male,11.1
Israel,2005,Labour force participation - Female,55.1
Israel,2005,Unemployment rate - Female,11.6
Israel,2010,Labour force participation - Total,63
Israel,2010,Unemployment rate - Total,8.5
Israel,2010,Labour force participation - Male,69.4
Israel,2010,Unemployment rate - Male,8.9
Israel,2010,Labour force participation - Female,57
Israel,2010,Unemployment rate - Female,8
Israel,2015,Labour force participation - Total,64.1
Israel,2015,Unemployment rate - Total,5.3
Israel,2015,Labour force participation - Male,69.5
Israel,2015,Unemployment rate - Male,5.1
Israel,2015,Labour force participation - Female,59
Israel,2015,Unemployment rate - Female,5.4
Israel,2020,Labour force participation - Total,64
Israel,2020,Unemployment rate - Total,3.8
Israel,2020,Labour force participation - Male,68.5
Israel,2020,Unemployment rate - Male,3.8
Israel,2020,Labour force participation - Female,59.7
Israel,2020,Unemployment rate - Female,3.8
Italy,2005,Labour force participation - Total,49
Italy,2005,Unemployment rate - Total,7.7
Italy,2005,Labour force participation - Male,61
Italy,2005,Unemployment rate - Male,6.2
Italy,2005,Labour force participation - Female,37.8
Italy,2005,Unemployment rate - Female,10.1
Italy,2010,Labour force participation - Total,48
Italy,2010,Unemployment rate - Total,8.4
Italy,2010,Labour force participation - Male,59
Italy,2010,Unemployment rate - Male,7.5
Italy,2010,Labour force participation - Female,37.9
Italy,2010,Unemployment rate - Female,9.6
Italy,2015,Labour force participation - Total,48.7
Italy,2015,Unemployment rate - Total,11.9
Italy,2015,Labour force participation - Male,58.7
Italy,2015,Unemployment rate - Male,11.3
Italy,2015,Labour force participation - Female,39.5
Italy,2015,Unemployment rate - Female,12.7
Italy,2020,Labour force participation - Total,49.4
Italy,2020,Unemployment rate - Total,9.8
Italy,2020,Labour force participation - Male,58.7
Italy,2020,Unemployment rate - Male,9.1
Italy,2020,Labour force participation - Female,40.7
Italy,2020,Unemployment rate - Female,10.9
Jamaica,2005,Labour force participation - Total,64.7
Jamaica,2005,Unemployment rate - Total,11.3
Jamaica,2005,Labour force participation - Male,73.7
Jamaica,2005,Unemployment rate - Male,7.6
Jamaica,2005,Labour force participation - Female,56.1
Jamaica,2005,Unemployment rate - Female,15.8
Jamaica,2010,Labour force participation - Total,63.2
Jamaica,2010,Unemployment rate - Total,12.4
Jamaica,2010,Labour force participation - Male,71.1
Jamaica,2010,Unemployment rate - Male,9.2
Jamaica,2010,Labour force participation - Female,55.6
Jamaica,2010,Unemployment rate - Female,16.3
Jamaica,2015,Labour force participation - Total,64.3
Jamaica,2015,Unemployment rate - Total,13.5
Jamaica,2015,Labour force participation - Male,71.5
Jamaica,2015,Unemployment rate - Male,9.9
Jamaica,2015,Labour force participation - Female,57.4
Jamaica,2015,Unemployment rate - Female,17.9
Jamaica,2020,Labour force participation - Total,66.2
Jamaica,2020,Unemployment rate - Total,8
Jamaica,2020,Labour force participation - Male,72.6
Jamaica,2020,Unemployment rate - Male,5.7
Jamaica,2020,Labour force participation - Female,60
Jamaica,2020,Unemployment rate - Female,10.6
Japan,2005,Labour force participation - Total,60.6
Japan,2005,Unemployment rate - Total,4.4
Japan,2005,Labour force participation - Male,73.5
Japan,2005,Unemployment rate - Male,4.6
Japan,2005,Labour force participation - Female,48.4
Japan,2005,Unemployment rate - Female,4.2
Japan,2010,Labour force participation - Total,60.1
Japan,2010,Unemployment rate - Total,5.1
Japan,2010,Labour force participation - Male,72.1
Japan,2010,Unemployment rate - Male,5.4
Japan,2010,Labour force participation - Female,48.7
Japan,2010,Unemployment rate - Female,4.6
Japan,2015,Labour force participation - Total,60
Japan,2015,Unemployment rate - Total,3.4
Japan,2015,Labour force participation - Male,70.8
Japan,2015,Unemployment rate - Male,3.6
Japan,2015,Labour force participation - Female,49.9
Japan,2015,Unemployment rate - Female,3.1
Japan,2020,Labour force participation - Total,61.6
Japan,2020,Unemployment rate - Total,2.3
Japan,2020,Labour force participation - Male,71
Japan,2020,Unemployment rate - Male,2.4
Japan,2020,Labour force participation - Female,52.7
Japan,2020,Unemployment rate - Female,2.2
Jordan,2005,Labour force participation - Total,40.9
Jordan,2005,Unemployment rate - Total,14.8
Jordan,2005,Labour force participation - Male,67.6
Jordan,2005,Unemployment rate - Male,12.9
Jordan,2005,Labour force participation - Female,12.2
Jordan,2005,Unemployment rate - Female,26.1
Jordan,2010,Labour force participation - Total,41.8
Jordan,2010,Unemployment rate - Total,12.5
Jordan,2010,Labour force participation - Male,67.2
Jordan,2010,Unemployment rate - Male,10.5
Jordan,2010,Labour force participation - Female,15.3
Jordan,2010,Unemployment rate - Female,21.8
Jordan,2015,Labour force participation - Total,39.3
Jordan,2015,Unemployment rate - Total,13.1
Jordan,2015,Labour force participation - Male,63.9
Jordan,2015,Unemployment rate - Male,11
Jordan,2015,Labour force participation - Female,14
Jordan,2015,Unemployment rate - Female,22.7
Jordan,2020,Labour force participation - Total,39.2
Jordan,2020,Unemployment rate - Total,14.6
Jordan,2020,Labour force participation - Male,63.5
Jordan,2020,Unemployment rate - Male,12.8
Jordan,2020,Labour force participation - Female,14.4
Jordan,2020,Unemployment rate - Female,23
Kazakhstan,2005,Labour force participation - Total,69.5
Kazakhstan,2005,Unemployment rate - Total,8.1
Kazakhstan,2005,Labour force participation - Male,75.3
Kazakhstan,2005,Unemployment rate - Male,6.7
Kazakhstan,2005,Labour force participation - Female,64.4
Kazakhstan,2005,Unemployment rate - Female,9.6
Kazakhstan,2010,Labour force participation - Total,70.4
Kazakhstan,2010,Unemployment rate - Total,5.8
Kazakhstan,2010,Labour force participation - Male,75.9
Kazakhstan,2010,Unemployment rate - Male,4.9
Kazakhstan,2010,Labour force participation - Female,65.4
Kazakhstan,2010,Unemployment rate - Female,6.6
Kazakhstan,2015,Labour force participation - Total,70.9
Kazakhstan,2015,Unemployment rate - Total,4.9
Kazakhstan,2015,Labour force participation - Male,77
Kazakhstan,2015,Unemployment rate - Male,4.4
Kazakhstan,2015,Labour force participation - Female,65.4
Kazakhstan,2015,Unemployment rate - Female,5.5
Kazakhstan,2020,Labour force participation - Total,68.3
Kazakhstan,2020,Unemployment rate - Total,4.6
Kazakhstan,2020,Labour force participation - Male,75.1
Kazakhstan,2020,Unemployment rate - Male,3.9
Kazakhstan,2020,Labour force participation - Female,62.2
Kazakhstan,2020,Unemployment rate - Female,5.3
Kenya,2005,Labour force participation - Total,65.1
Kenya,2005,Unemployment rate - Total,2.8
Kenya,2005,Labour force participation - Male,70.1
Kenya,2005,Unemployment rate - Male,2.7
Kenya,2005,Labour force participation - Female,60.3
Kenya,2005,Unemployment rate - Female,3
Kenya,2010,Labour force participation - Total,70.6
Kenya,2010,Unemployment rate - Total,2.8
Kenya,2010,Labour force participation - Male,75.1
Kenya,2010,Unemployment rate - Male,2.6
Kenya,2010,Labour force participation - Female,66.4
Kenya,2010,Unemployment rate - Female,3.1
Kenya,2015,Labour force participation - Total,74.4
Kenya,2015,Unemployment rate - Total,2.8
Kenya,2015,Labour force participation - Male,77.9
Kenya,2015,Unemployment rate - Male,2.6
Kenya,2015,Labour force participation - Female,71
Kenya,2015,Unemployment rate - Female,3
Kenya,2020,Labour force participation - Total,74.9
Kenya,2020,Unemployment rate - Total,2.7
Kenya,2020,Labour force participation - Male,77.5
Kenya,2020,Unemployment rate - Male,2.5
Kenya,2020,Labour force participation - Female,72.3
Kenya,2020,Unemployment rate - Female,2.8
Kiribati,2005,Labour force participation - Total,26.4
Kiribati,2005,Unemployment rate - Total,14.7
Kiribati,2005,Labour force participation - Male,32.8
Kiribati,2005,Unemployment rate - Male,12.3
Kiribati,2005,Labour force participation - Female,20.4
Kiribati,2005,Unemployment rate - Female,18.2
Kiribati,2010,Labour force participation - Total,59.3
Kiribati,2010,Unemployment rate - Total,30.6
Kiribati,2010,Labour force participation - Male,66.8
Kiribati,2010,Unemployment rate - Male,27.6
Kiribati,2010,Labour force participation - Female,52.3
Kiribati,2010,Unemployment rate - Female,34.1
Kosovo,2005,Labour force participation - Total,48.7
Kosovo,2005,Unemployment rate - Total,41.4
Kosovo,2005,Labour force participation - Male,68.3
Kosovo,2005,Unemployment rate - Male,32.9
Kosovo,2005,Labour force participation - Female,29.7
Kosovo,2005,Unemployment rate - Female,60.5
Kosovo,2009,Labour force participation - Total,47.7
Kosovo,2009,Unemployment rate - Total,45.4
Kosovo,2009,Labour force participation - Male,66.9
Kosovo,2009,Unemployment rate - Male,56.4
Kosovo,2009,Labour force participation - Female,28.7
Kosovo,2009,Unemployment rate - Female,40.7
Kosovo,2012,Labour force participation - Total,37.1
Kosovo,2012,Unemployment rate - Total,30.9
Kosovo,2012,Labour force participation - Male,55.5
Kosovo,2012,Unemployment rate - Male,28.1
Kosovo,2012,Labour force participation - Female,17.9
Kosovo,2012,Unemployment rate - Female,40
Kosovo,2013,Labour force participation - Total,40.6
Kosovo,2013,Labour force participation - Male,60.2
Kosovo,2013,Labour force participation - Female,21.1
Kuwait,2005,Labour force participation - Total,67
Kuwait,2005,Unemployment rate - Total,1.6
Kuwait,2005,Labour force participation - Male,82.6
Kuwait,2005,Unemployment rate - Male,1
Kuwait,2005,Labour force participation - Female,41.8
Kuwait,2005,Unemployment rate - Female,3.3
Kuwait,2010,Labour force participation - Total,69.4
Kuwait,2010,Unemployment rate - Total,1.8
Kuwait,2010,Labour force participation - Male,84.7
Kuwait,2010,Unemployment rate - Male,1.4
Kuwait,2010,Labour force participation - Female,46.6
Kuwait,2010,Unemployment rate - Female,2.9
Kuwait,2015,Labour force participation - Total,72.6
Kuwait,2015,Unemployment rate - Total,2.2
Kuwait,2015,Labour force participation - Male,87.2
Kuwait,2015,Unemployment rate - Male,1.3
Kuwait,2015,Labour force participation - Female,50
Kuwait,2015,Unemployment rate - Female,4.7
Kuwait,2020,Labour force participation - Total,73.4
Kuwait,2020,Unemployment rate - Total,2.3
Kuwait,2020,Labour force participation - Male,87.3
Kuwait,2020,Unemployment rate - Male,1.2
Kuwait,2020,Labour force participation - Female,49.3
Kuwait,2020,Unemployment rate - Female,5.6
Kyrgyzstan,2005,Labour force participation - Total,64.9
Kyrgyzstan,2005,Unemployment rate - Total,8.1
Kyrgyzstan,2005,Labour force participation - Male,76.1
Kyrgyzstan,2005,Unemployment rate - Male,7.4
Kyrgyzstan,2005,Labour force participation - Female,54.1
Kyrgyzstan,2005,Unemployment rate - Female,9.1
Kyrgyzstan,2010,Labour force participation - Total,64.1
Kyrgyzstan,2010,Unemployment rate - Total,8.6
Kyrgyzstan,2010,Labour force participation - Male,76.6
Kyrgyzstan,2010,Unemployment rate - Male,7.7
Kyrgyzstan,2010,Labour force participation - Female,52.2
Kyrgyzstan,2010,Unemployment rate - Female,9.9
Kyrgyzstan,2015,Labour force participation - Total,62.4
Kyrgyzstan,2015,Unemployment rate - Total,7.6
Kyrgyzstan,2015,Labour force participation - Male,75.5
Kyrgyzstan,2015,Unemployment rate - Male,6.5
Kyrgyzstan,2015,Labour force participation - Female,49.9
Kyrgyzstan,2015,Unemployment rate - Female,9
Kyrgyzstan,2020,Labour force participation - Total,59.6
Kyrgyzstan,2020,Unemployment rate - Total,6.6
Kyrgyzstan,2020,Labour force participation - Male,75.7
Kyrgyzstan,2020,Unemployment rate - Male,5.9
Kyrgyzstan,2020,Labour force participation - Female,44.5
Kyrgyzstan,2020,Unemployment rate - Female,7.9
Lao People's Dem. Rep.,2005,Labour force participation - Total,78.8
Lao People's Dem. Rep.,2005,Unemployment rate - Total,1.4
Lao People's Dem. Rep.,2005,Labour force participation - Male,79.8
Lao People's Dem. Rep.,2005,Unemployment rate - Male,1.4
Lao People's Dem. Rep.,2005,Labour force participation - Female,77.9
Lao People's Dem. Rep.,2005,Unemployment rate - Female,1.4
Lao People's Dem. Rep.,2010,Labour force participation - Total,78.1
Lao People's Dem. Rep.,2010,Unemployment rate - Total,0.7
Lao People's Dem. Rep.,2010,Labour force participation - Male,79.4
Lao People's Dem. Rep.,2010,Unemployment rate - Male,0.8
Lao People's Dem. Rep.,2010,Labour force participation - Female,76.8
Lao People's Dem. Rep.,2010,Unemployment rate - Female,0.7
Lao People's Dem. Rep.,2015,Labour force participation - Total,78.5
Lao People's Dem. Rep.,2015,Unemployment rate - Total,0.7
Lao People's Dem. Rep.,2015,Labour force participation - Male,80.2
Lao People's Dem. Rep.,2015,Unemployment rate - Male,0.7
Lao People's Dem. Rep.,2015,Labour force participation - Female,76.8
Lao People's Dem. Rep.,2015,Unemployment rate - Female,0.6
Lao People's Dem. Rep.,2020,Labour force participation - Total,78.5
Lao People's Dem. Rep.,2020,Unemployment rate - Total,0.6
Lao People's Dem. Rep.,2020,Labour force participation - Male,80.2
Lao People's Dem. Rep.,2020,Unemployment rate - Male,0.7
Lao People's Dem. Rep.,2020,Labour force participation - Female,76.8
Lao People's Dem. Rep.,2020,Unemployment rate - Female,0.6
Latvia,2005,Labour force participation - Total,57.3
Latvia,2005,Unemployment rate - Total,10
Latvia,2005,Labour force participation - Male,65.6
Latvia,2005,Unemployment rate - Male,10.1
Latvia,2005,Labour force participation - Female,50.4
Latvia,2005,Unemployment rate - Female,10
Latvia,2010,Labour force participation - Total,59
Latvia,2010,Unemployment rate - Total,19.5
Latvia,2010,Labour force participation - Male,65.3
Latvia,2010,Unemployment rate - Male,22.7
Latvia,2010,Labour force participation - Female,53.9
Latvia,2010,Unemployment rate - Female,16.3
Latvia,2015,Labour force participation - Total,60.1
Latvia,2015,Unemployment rate - Total,9.9
Latvia,2015,Labour force participation - Male,67.5
Latvia,2015,Unemployment rate - Male,11.1
Latvia,2015,Labour force participation - Female,54
Latvia,2015,Unemployment rate - Female,8.6
Latvia,2020,Labour force participation - Total,61
Latvia,2020,Unemployment rate - Total,6.5
Latvia,2020,Labour force participation - Male,67.9
Latvia,2020,Unemployment rate - Male,7.1
Latvia,2020,Labour force participation - Female,55.3
Latvia,2020,Unemployment rate - Female,6
Lebanon,2005,Labour force participation - Total,47.6
Lebanon,2005,Unemployment rate - Total,8.3
Lebanon,2005,Labour force participation - Male,72.5
Lebanon,2005,Unemployment rate - Male,7.9
Lebanon,2005,Labour force participation - Female,21.2
Lebanon,2005,Unemployment rate - Female,9.7
Lebanon,2010,Labour force participation - Total,46.8
Lebanon,2010,Unemployment rate - Total,6.4
Lebanon,2010,Labour force participation - Male,69.8
Lebanon,2010,Unemployment rate - Male,5.1
